CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
0.747948717948718,0.74,0.735982905982906
0.8231481481481482,0.7972222222222223,0.7833333333333334
0.7644444444444446,0.7388888888888892,0.7188888888888889
0.86,0.7966666666666667,0.7716666666666666
0.8616666666666667,0.8000000000000002,0.7850000000000003
0.842777777777778,0.8150000000000001,0.8122222222222223
0.9211111111111111,0.8988888888888888,0.8855555555555554
0.8823697359029264,0.8629550321199145,0.8443968593861527
0.8341666666666666,0.8033333333333332,0.7725000000000001
0.9940476190476191,0.9928571428571428,0.9892857142857142
0.6465333333333333,0.6179999999999999,0.6094666666666665
0.6398290598290597,0.6091452991452989,0.5885470085470085
0.611196581196581,0.5735042735042734,0.5494871794871794
0.6232478632478632,0.5890598290598289,0.5726495726495725
0.925,0.925,0.925
0.8336666666666666,0.8278333333333333,0.8265833333333334
0.8251666666666667,0.821388888888889,0.8210555555555554
0.8056666666666666,0.7993333333333333,0.7971666666666667
0.822360248447205,0.8192546583850933,0.8143892339544514
0.8803333333333334,0.8706666666666666,0.8666666666666666
0.9466000000000002,0.9451333333333333,0.9450666666666667
0.9159420289855074,0.9043478260869566,0.889855072463768
0.8040518335947421,0.7966390320412279,0.7894839046978863
0.901547619047619,0.8992857142857144,0.8987499999999999
0.8916666666666667,0.8569444444444444,0.8555555555555556
0.7801666666666667,0.7714999999999999,0.7720000000000001
0.6687407407407406,0.6620000000000001,0.6617037037037038
0.8704761904761906,0.8636190476190475,0.8624761904761903
0.828704989354809,0.8263908173655465,0.825946496343608
0.811936193619362,0.8068298496516318,0.8051705170517053
0.9486666666666672,0.9393333333333338,0.9340000000000005
0.8556574923547403,0.8415902140672783,0.8370030581039758
0.9108333333333332,0.9099333333333334,0.9099333333333334
0.5350537634408603,0.513978494623656,0.5086021505376344
0.6598958333333333,0.6260416666666667,0.6125
0.37666666666666665,0.34933333333333333,0.3386666666666668
0.6612121212121213,0.646969696969697,0.6442424242424243
0.9741293532338305,0.971144278606965,0.970149253731343
0.6428444444444446,0.6341333333333333,0.6236444444444446
0.8194444444444446,0.8016666666666666,0.7905555555555555
0.7366666666666666,0.7128571428571427,0.6976190476190476
0.9569696969696969,0.9303030303030302,0.9199999999999999
0.9944444444444446,0.9933333333333335,0.9933333333333335
0.7443569553805777,0.7375328083989499,0.7360454943132109
0.7563333333333335,0.74875,0.74525
0.8435555555555554,0.839111111111111,0.8379444444444445
0.630827067669173,0.6197159565580619,0.6154553049289893
0.9183333333333332,0.9016666666666667,0.8849999999999998
0.9265185185185182,0.9237592592592592,0.9224814814814815
0.940962962962963,0.9393888888888889,0.9391296296296293
0.8844444444444443,0.8522222222222223,0.8455555555555557
0.6245,0.6116666666666668,0.6071666666666666
0.8413703703703704,0.8385370370370372,0.8374074074074074
0.15965732087227413,0.13286604361370713,0.10327102803738317
0.9780952380952381,0.9771428571428572,0.9765079365079365
0.8488333333333332,0.8441666666666665,0.8442500000000001
0.8855555555555555,0.8818333333333334,0.8812777777777776
0.8451666666666667,0.8408333333333335,0.8409166666666666
0.5780444444444447,0.5633777777777778,0.5393777777777778
0.4816000000000001,0.45991111111111105,0.4529777777777777
0.7883333333333334,0.7166666666666666,0.6383333333333334
0.7434999999999998,0.7382222222222224,0.7367222222222221
0.7019555555555556,0.6813333333333333,0.6791111111111111
0.9016666666666666,0.86,0.8483333333333334
0.8938271604938273,0.8691358024691358,0.8666666666666667
0.9610666666666666,0.9592999999999996,0.9593666666666665
0.9756933115823816,0.9743882544861336,0.974116367591082
0.887,0.8822666666666665,0.8808666666666666
0.8493333333333334,0.8346666666666668,0.8333333333333335
0.9586666666666666,0.9573333333333331,0.9567777777777776
0.6741666666666668,0.5683333333333334,0.5425000000000001
0.7675925925925925,0.6787037037037037,0.65
0.9086666666666666,0.8916666666666668,0.8826666666666667
0.9014492753623191,0.8797101449275363,0.8608695652173911
0.9025333333333335,0.9002999999999999,0.8998333333333333
0.9517113095238096,0.950967261904762,0.9507440476190478
0.7633184523809525,0.7590401785714287,0.7577380952380952
0.7139136904761904,0.7087797619047619,0.7074404761904761
0.7283482142857143,0.7220238095238095,0.7193080357142857
0.9949999999999998,0.9948999999999999,0.9948999999999998
0.9081871345029243,0.9011695906432752,0.9000000000000002
0.6245942571785268,0.6177278401997502,0.6174781523096129
0.5813996316758747,0.5626151012891344,0.5473296500920809
0.6755064456721915,0.6469613259668507,0.6403314917127072
0.852888888888889,0.8462222222222222,0.8446666666666667
