folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6626736942980355,0.6526114039290848,0.6602779108768567,0.6521322472448491,0.6751317680881649,0.6521322472448491,0.6612362242453282,0.6564446574029708,0.6602779108768567,0.654048873981792,0.6602779108768567,0.6564446574029708,0.6363200766650695,0.6535697172975563,0.6593195975083852,0.657882127455678,0.6621945376137998,0.6660277910876857,0.657882127455678,0.6521322472448491,0.6425491135601341,0.6569238140872066,0.661715380929564,0.6530905606133206,0.6641111643507427,0.6439865836128414,0.6435074269286056,0.6478198370867274,0.661715380929564,0.6612362242453282
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.868018018018018,0.8643325143325143,0.8665028665028665,0.8639639639639639,0.8647829647829648,0.8645782145782146,0.8649467649467649,0.8677313677313677,0.8645372645372645,0.8636773136773137,0.8619574119574119,0.8650696150696151,0.8638820638820639,0.8665028665028665,0.8647010647010647,0.8673628173628174,0.865110565110565,0.8644144144144145,0.8671171171171171,0.8650696150696151,0.8651515151515151,0.8649467649467649,0.8649467649467649,0.8635544635544635,0.8645782145782146,0.8625307125307126,0.8653972153972154,0.8633087633087633,0.8680999180999182,0.8672399672399672
annealing,0.9352678571428571,0.9441964285714286,0.9441964285714286,0.9464285714285714,0.9263392857142857,0.9553571428571429,0.9285714285714286,0.9397321428571429,0.9419642857142857,0.9598214285714286,0.9397321428571429,0.9352678571428571,0.9352678571428571,0.953125,0.9441964285714286,0.9330357142857143,0.9508928571428571,0.9464285714285714,0.9419642857142857,0.9508928571428571,0.9419642857142857,0.953125,0.9419642857142857,0.9508928571428571,0.9508928571428571,0.9553571428571429,0.9352678571428571,0.9285714285714286,0.9553571428571429,0.9486607142857143
arrhythmia,0.7702702702702703,0.7477477477477478,0.7207207207207207,0.7207207207207207,0.7477477477477478,0.7162162162162162,0.7297297297297297,0.7297297297297297,0.6801801801801802,0.7702702702702703,0.7072072072072072,0.7432432432432432,0.7477477477477478,0.6801801801801802,0.7297297297297297,0.7477477477477478,0.7387387387387387,0.7612612612612613,0.7207207207207207,0.7297297297297297,0.7477477477477478,0.7162162162162162,0.7387387387387387,0.7117117117117117,0.6936936936936937,0.6801801801801802,0.7387387387387387,0.7297297297297297,0.7432432432432432,0.7432432432432432
audiology-std,0.6875,0.7604166666666666,0.7395833333333334,0.78125,0.71875,0.71875,0.6770833333333334,0.7083333333333334,0.71875,0.7291666666666666,0.7395833333333334,0.71875,0.71875,0.7395833333333334,0.7604166666666666,0.7083333333333334,0.7395833333333334,0.7395833333333334,0.8020833333333334,0.75,0.7916666666666666,0.7708333333333334,0.7604166666666666,0.6979166666666666,0.7395833333333334,0.7291666666666666,0.75,0.7916666666666666,0.7708333333333334,0.7395833333333334
balance-scale,0.9423076923076923,0.9134615384615384,0.907051282051282,0.9358974358974359,0.9326923076923077,0.9230769230769231,0.9294871794871795,0.9102564102564102,0.9198717948717948,0.9455128205128205,0.9262820512820513,0.9455128205128205,0.9166666666666666,0.9358974358974359,0.9166666666666666,0.9391025641025641,0.9294871794871795,0.9262820512820513,0.9583333333333334,0.9198717948717948,0.9423076923076923,0.9326923076923077,0.9294871794871795,0.9487179487179487,0.9262820512820513,0.907051282051282,0.9326923076923077,0.9455128205128205,0.9326923076923077,0.9294871794871795
balloons,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571,1.0,1.0,1.0,0.5714285714285714,1.0,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.8571428571428571,1.0,1.0,0.7142857142857143,1.0,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.7142857142857143,1.0,0.5714285714285714
bank,0.8986725663716815,0.8942477876106195,0.8964601769911504,0.8942477876106195,0.893362831858407,0.8893805309734514,0.9004424778761062,0.9035398230088496,0.8969026548672566,0.9022123893805309,0.8995575221238938,0.8964601769911504,0.8951327433628319,0.9,0.904424778761062,0.8973451327433628,0.8986725663716815,0.9004424778761062,0.893362831858407,0.9022123893805309,0.8969026548672566,0.8946902654867257,0.9026548672566371,0.8946902654867257,0.8876106194690265,0.9013274336283186,0.9017699115044248,0.8951327433628319,0.9022123893805309,0.8920353982300885
blood,0.7887700534759359,0.7914438502673797,0.7647058823529411,0.7807486631016043,0.7754010695187166,0.786096256684492,0.7967914438502673,0.786096256684492,0.7994652406417112,0.7887700534759359,0.7566844919786097,0.7914438502673797,0.7647058823529411,0.8101604278074866,0.7967914438502673,0.786096256684492,0.7887700534759359,0.7967914438502673,0.767379679144385,0.820855614973262,0.8021390374331551,0.7807486631016043,0.767379679144385,0.7647058823529411,0.7834224598930482,0.7807486631016043,0.7914438502673797,0.8288770053475936,0.786096256684492,0.7780748663101604
breast-cancer,0.7535211267605634,0.6971830985915493,0.7746478873239436,0.7746478873239436,0.7253521126760564,0.704225352112676,0.7183098591549296,0.7253521126760564,0.7183098591549296,0.7746478873239436,0.7253521126760564,0.7112676056338029,0.7394366197183099,0.7746478873239436,0.7676056338028169,0.7464788732394366,0.704225352112676,0.7394366197183099,0.7253521126760564,0.795774647887324,0.7112676056338029,0.8028169014084507,0.7183098591549296,0.7394366197183099,0.7112676056338029,0.7183098591549296,0.7605633802816901,0.7253521126760564,0.7464788732394366,0.7323943661971831
breast-cancer-wisc,0.9713467048710601,0.9598853868194842,0.9627507163323782,0.9570200573065902,0.9799426934097422,0.9885386819484241,0.9742120343839542,0.9627507163323782,0.9684813753581661,0.9742120343839542,0.9627507163323782,0.9742120343839542,0.9656160458452722,0.9627507163323782,0.9799426934097422,0.9799426934097422,0.9713467048710601,0.9455587392550143,0.9656160458452722,0.9713467048710601,0.9684813753581661,0.9684813753581661,0.9770773638968482,0.9770773638968482,0.9742120343839542,0.9598853868194842,0.9684813753581661,0.9627507163323782,0.9627507163323782,0.9713467048710601
breast-cancer-wisc-diag,0.9788732394366197,0.9823943661971831,0.9894366197183099,0.9788732394366197,0.9753521126760564,0.9753521126760564,0.9753521126760564,0.9647887323943662,0.971830985915493,0.9859154929577465,0.9753521126760564,0.9788732394366197,0.9788732394366197,0.9788732394366197,0.9823943661971831,0.9753521126760564,0.9753521126760564,0.971830985915493,0.9823943661971831,0.9788732394366197,0.9647887323943662,0.9859154929577465,0.9753521126760564,0.971830985915493,0.9647887323943662,0.9612676056338029,0.9788732394366197,0.9788732394366197,0.9859154929577465,0.971830985915493
breast-cancer-wisc-prog,0.8673469387755102,0.8163265306122449,0.7959183673469388,0.7653061224489796,0.7857142857142857,0.8061224489795918,0.8061224489795918,0.7346938775510204,0.7959183673469388,0.8061224489795918,0.7755102040816326,0.8367346938775511,0.826530612244898,0.7857142857142857,0.8061224489795918,0.7857142857142857,0.8163265306122449,0.8061224489795918,0.8061224489795918,0.7959183673469388,0.8061224489795918,0.826530612244898,0.7857142857142857,0.7551020408163265,0.7448979591836735,0.8163265306122449,0.8673469387755102,0.8367346938775511,0.7551020408163265,0.7959183673469388
breast-tissue,0.6346153846153846,0.6153846153846154,0.6923076923076923,0.7307692307692307,0.6730769230769231,0.6730769230769231,0.6153846153846154,0.6923076923076923,0.7115384615384616,0.6346153846153846,0.5961538461538461,0.5769230769230769,0.6538461538461539,0.5961538461538461,0.7692307692307693,0.7307692307692307,0.6538461538461539,0.7884615384615384,0.7307692307692307,0.6730769230769231,0.7692307692307693,0.7115384615384616,0.5769230769230769,0.6346153846153846,0.6923076923076923,0.7115384615384616,0.6538461538461539,0.7307692307692307,0.7307692307692307,0.6730769230769231
car,0.9745075318655851,0.9687137891077636,0.9745075318655851,0.9791425260718424,0.9733487833140209,0.9791425260718424,0.9721900347624566,0.9721900347624566,0.9826187717265353,0.984936268829664,0.9768250289687138,0.9756662804171495,0.9791425260718424,0.9756662804171495,0.9756662804171495,0.9779837775202781,0.9745075318655851,0.9756662804171495,0.9791425260718424,0.9803012746234068,0.9826187717265353,0.9733487833140209,0.9756662804171495,0.9779837775202781,0.9791425260718424,0.9803012746234068,0.9826187717265353,0.9803012746234068,0.981460023174971,0.9721900347624566
cardiotocography-3clases,0.9425612052730696,0.9378531073446328,0.9416195856873822,0.9378531073446328,0.9303201506591338,0.943502824858757,0.9500941619585688,0.9274952919020716,0.9472693032015066,0.9491525423728814,0.9378531073446328,0.9350282485875706,0.9340866290018832,0.9453860640301318,0.9369114877589454,0.9387947269303202,0.940677966101695,0.9322033898305084,0.9453860640301318,0.9548022598870056,0.9322033898305084,0.9500941619585688,0.940677966101695,0.9369114877589454,0.948210922787194,0.9519774011299436,0.9378531073446328,0.9331450094161958,0.943502824858757,0.9416195856873822
cardiotocography-10clases,0.8679245283018868,0.8632075471698113,0.8594339622641509,0.8566037735849057,0.8735849056603774,0.8764150943396226,0.8650943396226415,0.8547169811320755,0.8509433962264151,0.8433962264150944,0.8669811320754717,0.8566037735849057,0.8433962264150944,0.8745283018867924,0.8726415094339622,0.8613207547169811,0.8660377358490566,0.869811320754717,0.8603773584905661,0.8830188679245283,0.8584905660377359,0.8632075471698113,0.8716981132075472,0.8556603773584905,0.8528301886792453,0.879245283018868,0.8716981132075472,0.8547169811320755,0.8613207547169811,0.870754716981132
chess-krvk,0.7929264118653736,0.7915715915573303,0.7979178551055334,0.797062179121506,0.796063890473474,0.7897889332572733,0.8014831717056474,0.7973474044495151,0.7912150598973189,0.7956360524814603,0.7936394751853965,0.7942099258414147,0.7940673131774102,0.7963491158014832,0.7890758699372504,0.7865801483171706,0.7915715915573303,0.7986309184255562,0.7885767256132344,0.7934255561893896,0.7947090701654307,0.7903593839132915,0.7989874500855676,0.7949229891614376,0.7933542498573873,0.7911437535653166,0.7972047917855105,0.79249857387336,0.7945664575014262,0.7897889332572733
chess-krvkp,0.9937382592360676,0.9937382592360676,0.9912335629304947,0.9918597370068879,0.9924859110832811,0.9887288666249218,0.9931120851596744,0.9931120851596744,0.9918597370068879,0.9937382592360676,0.9931120851596744,0.9949906073888541,0.9918597370068879,0.9881026925485284,0.9937382592360676,0.9918597370068879,0.9906073888541015,0.9906073888541015,0.9924859110832811,0.9924859110832811,0.9918597370068879,0.9956167814652473,0.9906073888541015,0.9906073888541015,0.9912335629304947,0.9937382592360676,0.9937382592360676,0.9918597370068879,0.9918597370068879,0.9931120851596744
congressional-voting,0.5898617511520737,0.6405529953917051,0.6082949308755761,0.6082949308755761,0.5622119815668203,0.6405529953917051,0.6359447004608295,0.6129032258064516,0.6082949308755761,0.6267281105990783,0.6036866359447005,0.5944700460829493,0.6221198156682027,0.6082949308755761,0.5668202764976958,0.6405529953917051,0.5898617511520737,0.576036866359447,0.631336405529954,0.6082949308755761,0.5990783410138248,0.6175115207373272,0.6129032258064516,0.6129032258064516,0.6221198156682027,0.6129032258064516,0.6082949308755761,0.6036866359447005,0.6129032258064516,0.6036866359447005
conn-bench-sonar-mines-rocks,0.7961165048543689,0.8640776699029126,0.8543689320388349,0.8349514563106796,0.8446601941747572,0.8155339805825242,0.8155339805825242,0.8640776699029126,0.8252427184466019,0.8252427184466019,0.8252427184466019,0.8058252427184466,0.8155339805825242,0.8446601941747572,0.8543689320388349,0.8155339805825242,0.7864077669902912,0.8543689320388349,0.8446601941747572,0.7766990291262136,0.8252427184466019,0.8252427184466019,0.8446601941747572,0.8543689320388349,0.8349514563106796,0.883495145631068,0.8446601941747572,0.8349514563106796,0.883495145631068,0.8058252427184466
conn-bench-vowel-deterding,0.9676767676767677,0.9717171717171718,0.9595959595959596,0.9555555555555556,0.9636363636363636,0.9696969696969697,0.9575757575757575,0.9777777777777777,0.9616161616161616,0.9535353535353536,0.9575757575757575,0.9555555555555556,0.9575757575757575,0.9757575757575757,0.9636363636363636,0.9636363636363636,0.9494949494949495,0.9575757575757575,0.9515151515151515,0.9616161616161616,0.9616161616161616,0.9656565656565657,0.9575757575757575,0.9717171717171718,0.9676767676767677,0.9696969696969697,0.9474747474747475,0.9575757575757575,0.9555555555555556,0.9575757575757575
