TRAINTESTDIFFSACCRANKS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_pb,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
abalone,4.0,3.0,2.0,1.0,5.0,6.0,8.0,9.0,10.0,7.0,11.0,17.0,12.0,14.0,13.0,15.0,16.0
acute-inflammation,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
acute-nephritis,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,17.0,8.5,8.5,8.5,8.5,8.5
adult,9.0,8.0,7.0,10.0,13.0,16.0,12.0,17.0,14.0,15.0,11.0,1.0,5.0,2.0,3.0,6.0,4.0
annealing,1.0,2.0,3.0,6.0,12.0,10.0,15.0,8.0,7.0,4.0,5.0,14.0,9.0,13.0,11.0,16.0,17.0
arrhythmia,2.0,1.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
audiology-std,1.0,3.0,6.0,7.0,2.0,4.0,5.0,9.0,10.0,11.0,12.0,8.0,13.0,15.0,14.0,16.0,17.0
balance-scale,16.0,17.0,15.0,10.0,11.0,14.0,12.0,13.0,8.0,7.0,6.0,9.0,5.0,4.0,1.0,3.0,2.0
balloons,2.5,2.5,2.5,2.5,5.0,7.0,7.0,7.0,10.0,9.0,12.0,11.0,14.0,13.0,15.0,16.0,17.0
bank,2.0,3.0,4.0,5.0,6.0,8.0,12.0,10.0,13.0,7.0,9.0,1.0,17.0,11.0,15.0,14.0,16.0
blood,3.0,1.0,5.0,10.5,7.0,4.0,10.5,2.0,8.0,6.0,9.0,17.0,13.0,14.0,12.0,15.0,16.0
breast-cancer,4.0,3.0,1.0,2.0,5.0,6.0,7.0,9.0,8.0,10.0,12.0,11.0,13.0,15.0,14.0,16.0,17.0
breast-cancer-wisc,4.0,7.0,5.0,2.0,1.0,3.0,6.0,8.0,9.0,10.0,12.0,17.0,13.0,11.0,14.5,14.5,16.0
breast-cancer-wisc-diag,1.5,1.5,3.0,5.0,4.0,9.0,7.0,8.0,10.0,12.0,16.0,17.0,14.0,13.0,15.0,11.0,6.0
breast-cancer-wisc-prog,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0
breast-tissue,1.0,2.0,4.0,3.0,5.0,6.0,7.0,8.0,10.0,9.0,11.0,16.0,12.0,13.0,14.0,15.0,17.0
car,16.0,13.0,10.0,3.0,4.0,5.0,2.0,6.0,11.0,1.0,7.0,17.0,15.0,8.0,12.0,14.0,9.0
cardiotocography-3clases,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,9.0,16.0,15.0,17.0,14.0,11.0,12.0,8.0,13.0
cardiotocography-10clases,5.5,5.5,2.0,4.0,3.0,7.0,8.0,10.0,9.0,11.0,12.0,1.0,13.0,14.0,15.0,16.0,17.0
chess-krvk,7.0,4.0,5.0,6.0,3.0,8.0,9.0,15.0,13.0,12.0,16.0,1.0,14.0,11.0,17.0,10.0,2.0
chess-krvkp,3.0,4.0,5.0,7.0,8.0,1.0,2.0,6.0,9.0,10.0,11.0,17.0,12.0,13.0,14.0,15.0,16.0
