folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Adiac,0.7256410256410256,0.7230769230769231,0.7487179487179487,0.7538461538461538,0.717948717948718,0.7128205128205128,0.7410256410256411,0.7076923076923077,0.735897435897436,0.7128205128205128,0.735897435897436,0.7333333333333333,0.7230769230769231,0.7435897435897436,0.7282051282051282,0.7461538461538462,0.7102564102564103,0.7615384615384615,0.7461538461538462,0.735897435897436,0.6974358974358974,0.7102564102564103,0.6923076923076923,0.7282051282051282,0.7128205128205128,0.7410256410256411,0.735897435897436,0.7333333333333333,0.7205128205128205,0.7256410256410256
ArrowHead,0.8333333333333334,0.9444444444444444,0.6944444444444444,0.75,0.8611111111111112,0.8333333333333334,0.8611111111111112,0.8055555555555556,0.7777777777777778,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.8611111111111112,0.7222222222222222,0.7777777777777778,0.8055555555555556,0.7777777777777778,0.7777777777777778,0.8055555555555556,0.75,0.8055555555555556,0.8333333333333334,0.8055555555555556,0.8333333333333334,0.8055555555555556,0.8888888888888888,0.7777777777777778,0.8055555555555556,0.8888888888888888,0.75
Beef,0.6666666666666666,0.8333333333333334,0.7333333333333333,0.7,0.7,0.7,0.7,0.7,0.6333333333333333,0.7,0.7666666666666667,0.7333333333333333,0.7666666666666667,0.6666666666666666,0.6333333333333333,0.7,0.6333333333333333,0.6333333333333333,0.9,0.7333333333333333,0.6666666666666666,0.7333333333333333,0.7,0.6,0.6,0.6666666666666666,0.6666666666666666,0.7,0.7,0.7666666666666667
BeetleFly,0.55,0.75,0.75,0.65,0.85,0.85,0.7,0.75,0.85,0.75,0.6,0.9,0.7,0.8,0.75,0.6,0.7,0.85,0.85,0.65,0.8,0.75,0.75,0.8,0.8,0.75,0.75,0.95,0.8,0.7
BirdChicken,0.6,0.75,0.8,0.65,0.6,0.8,0.55,0.9,0.85,0.85,0.8,0.8,0.65,0.7,0.75,0.85,0.7,0.7,0.8,0.8,0.75,0.75,0.8,0.85,0.8,0.75,0.85,0.7,0.9,0.8
Car,0.75,0.7833333333333333,0.75,0.8333333333333334,0.8,0.9166666666666666,0.8333333333333334,0.7166666666666667,0.8333333333333334,0.85,0.85,0.8333333333333334,0.8166666666666667,0.7833333333333333,0.75,0.7666666666666667,0.85,0.8333333333333334,0.8166666666666667,0.8166666666666667,0.9,0.75,0.8,0.9,0.8833333333333333,0.8,0.8,0.8,0.85,0.8666666666666667
CBF,0.8666666666666667,0.9333333333333333,0.9666666666666667,1.0,0.9,0.8666666666666667,0.8,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.8,0.8,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.9,0.9666666666666667,0.8333333333333334,0.7666666666666667,0.9,0.9333333333333333,0.8333333333333334,0.9,0.8666666666666667,0.9,0.9,0.9
ChlorineConcentration,0.8458244111349036,0.8308351177730193,0.8865096359743041,0.8501070663811563,0.8565310492505354,0.8436830835117773,0.8907922912205567,0.8008565310492506,0.828693790149893,0.8222698072805139,0.828693790149893,0.8458244111349036,0.8565310492505354,0.8222698072805139,0.8372591006423983,0.8586723768736617,0.8137044967880086,0.860813704496788,0.8436830835117773,0.8329764453961456,0.8565310492505354,0.8479657387580299,0.8372591006423983,0.8308351177730193,0.841541755888651,0.8265524625267666,0.854389721627409,0.8522483940042827,0.828693790149893,0.8758029978586723
CinCECGtorso,0.825,0.9,0.775,0.825,0.925,0.775,0.825,0.675,0.825,0.85,0.875,0.875,0.875,0.85,0.825,0.8,0.875,0.825,0.8,0.825,0.8,0.8,0.875,0.85,0.8,0.85,0.8,0.85,0.85,0.85
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,1.0,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,0.9642857142857143,1.0,1.0
