TRAINNLLRANKS:,CAWPE(RandTie),CAWPE(ConTie),CAWPE(alpha=4)
Adiac,1.0,3.0,2.0
ArrowHead,1.0,2.0,3.0
Beef,1.0,2.0,3.0
BeetleFly,1.0,2.0,3.0
BirdChicken,1.0,2.0,3.0
Car,1.0,2.0,3.0
CBF,1.0,2.0,3.0
ChlorineConcentration,1.0,3.0,2.0
CinCECGtorso,1.0,2.0,3.0
Coffee,2.0,1.0,3.0
Computers,2.0,1.0,3.0
CricketX,3.0,1.0,2.0
CricketY,3.0,2.0,1.0
CricketZ,3.0,1.0,2.0
DiatomSizeReduction,2.0,1.0,3.0
DistalPhalanxOutlineAgeGroup,2.0,1.0,3.0
DistalPhalanxOutlineCorrect,1.0,3.0,2.0
DistalPhalanxTW,2.0,1.0,3.0
Earthquakes,2.0,1.0,3.0
ECG200,2.0,1.0,3.0
ECG5000,2.0,1.0,3.0
ECGFiveDays,1.0,2.0,3.0
ElectricDevices,2.0,1.0,3.0
FaceAll,1.0,2.0,3.0
FaceFour,1.0,2.0,3.0
FacesUCR,1.0,2.0,3.0
FiftyWords,1.0,2.0,3.0
Fish,1.0,2.0,3.0
FordA,1.0,2.0,3.0
FordB,1.0,2.0,3.0
GunPoint,1.0,3.0,2.0
Ham,2.0,1.0,3.0
HandOutlines,1.0,3.0,2.0
Haptics,1.0,2.0,3.0
Herring,1.0,2.0,3.0
InlineSkate,3.0,1.0,2.0
InsectWingbeatSound,2.0,1.0,3.0
ItalyPowerDemand,1.0,3.0,2.0
LargeKitchenAppliances,2.0,1.0,3.0
Lightning2,1.0,3.0,2.0
Lightning7,2.0,1.0,3.0
Mallat,1.0,3.0,2.0
Meat,1.0,2.0,3.0
MedicalImages,3.0,1.0,2.0
MiddlePhalanxOutlineAgeGroup,1.0,3.0,2.0
MiddlePhalanxOutlineCorrect,1.0,3.0,2.0
MiddlePhalanxTW,1.0,3.0,2.0
MoteStrain,1.0,2.0,3.0
NonInvasiveFetalECGThorax1,1.0,3.0,2.0
NonInvasiveFetalECGThorax2,1.0,3.0,2.0
OliveOil,1.0,2.0,3.0
OSULeaf,2.0,1.0,3.0
PhalangesOutlinesCorrect,1.0,3.0,2.0
Phoneme,3.0,1.0,2.0
Plane,2.0,1.0,3.0
ProximalPhalanxOutlineAgeGroup,2.0,1.0,3.0
ProximalPhalanxOutlineCorrect,1.0,3.0,2.0
ProximalPhalanxTW,1.0,2.0,3.0
RefrigerationDevices,3.0,1.0,2.0
ScreenType,2.0,1.0,3.0
ShapeletSim,1.0,2.0,3.0
ShapesAll,1.0,2.0,3.0
SmallKitchenAppliances,2.0,1.0,3.0
SonyAIBORobotSurface1,1.0,2.0,3.0
SonyAIBORobotSurface2,2.0,1.0,3.0
StarlightCurves,1.0,3.0,2.0
Strawberry,1.0,3.0,2.0
SwedishLeaf,1.0,2.0,3.0
Symbols,1.0,2.0,3.0
SyntheticControl,1.0,2.0,3.0
ToeSegmentation1,1.0,2.0,3.0
ToeSegmentation2,1.0,3.0,2.0
Trace,2.0,1.0,3.0
TwoLeadECG,1.0,2.0,3.0
TwoPatterns,1.0,3.0,2.0
UWaveGestureLibraryAll,1.0,3.0,2.0
UWaveGestureLibraryX,2.0,1.0,3.0
UWaveGestureLibraryY,1.0,2.0,3.0
UWaveGestureLibraryZ,2.0,1.0,3.0
Wafer,1.0,3.0,2.0
Wine,1.0,2.0,3.0
WordSynonyms,1.0,2.0,3.0
Worms,3.0,1.0,2.0
WormsTwoClass,3.0,1.0,2.0
Yoga,2.0,1.0,3.0
