TRAINAUROC,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
AvgTRAINAUROCOverDsets:,0.8770465812246395,0.8768719803608944,0.8740222463185379
AvgTRAINAUROCRankOverDsets:,1.5082644628099173,1.7024793388429753,2.7892561983471076
StddevOfTRAINAUROCOverDsets:,0.13611526098601306,0.13506273267191954,0.13689442519695302
AvgOfStddevsOfTRAINAUROCOverDsetFolds:,0.027594955218411384,0.0264695968168204,0.026754961110917734
StddevsOfTRAINAUROCRanksOverDsets:,0.7582421311669408,0.47687573676961054,0.4643636600934952

flat,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
CAWPE-S(ConTie),0|121|0,80|2|39,98|3|20
CAWPE-S(alpha=4),39|2|80,0|121|0,116|2|3
CAWPE-S(RandTie),20|3|98,3|2|116,0|121|0



p=0.01,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
CAWPE-S(ConTie),0|121|0,10|110|1,19|102|0
CAWPE-S(alpha=4),1|110|10,0|121|0,12|109|0
CAWPE-S(RandTie),0|102|19,0|109|12,0|121|0



p=0.05,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
CAWPE-S(ConTie),0|121|0,15|103|3,24|96|1
CAWPE-S(alpha=4),3|103|15,0|121|0,16|105|0
CAWPE-S(RandTie),1|96|24,0|105|16,0|121|0



T TEST,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
CAWPE-S(ConTie),0.0,0.78550662,3.961E-5
CAWPE-S(alpha=4),0.0,0.0,2.2E-7
CAWPE-S(RandTie),0.0,0.0,0.0

SIGN TEST,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
CAWPE-S(ConTie),0.0,1.9356E-4,0.0
CAWPE-S(alpha=4),0.0,0.0,0.0
CAWPE-S(RandTie),0.0,0.0,0.0

SIGN RANK TEST,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
CAWPE-S(ConTie),0.0,6.9469E-4,0.0
CAWPE-S(alpha=4),0.0,0.0,0.0
CAWPE-S(RandTie),0.0,0.0,0.0

NOSIGDIFFERENCE,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
CAWPE-S(ConTie),true,false,false
CAWPE-S(alpha=4),false,true,false
CAWPE-S(RandTie),false,false,true



cliques = []

